frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
578,19.27,4,579.1,34.6,0.898,0.897,0.122,0.938,0.597,0.977,0.886,42.1,579.4,29.1,21.0,shoulders*0.5,-0.0119,ok,0.3,center,center,False,0,2,False,0.0
578,19.27,5,513.3,212.6,0.673,0.902,0.105,0.746,0.098,0.987,0.892,53.6,513.3,212.6,26.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
579,19.3,1,593.7,439.8,0.374,0.975,0.096,0.522,0.015,0.998,0.95,73.7,,,36.9,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
579,19.3,2,590.0,113.4,0.961,0.899,0.358,0.961,0.815,0.987,0.938,39.0,591.5,106.6,19.5,shoulders*0.5,-0.0789,ok,0.3,center,center,False,0,2,False,0.0
579,19.3,3,534.6,72.4,0.753,0.858,0.055,0.792,0.226,0.919,0.856,5.7,534.6,72.4,2.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
579,19.3,4,579.1,34.6,0.898,0.897,0.122,0.938,0.597,0.977,0.886,42.1,579.4,29.1,21.0,shoulders*0.5,-0.0119,ok,0.3,center,center,False,0,2,False,0.0
579,19.3,5,513.3,212.6,0.673,0.902,0.105,0.746,0.098,0.987,0.892,53.6,513.3,212.6,26.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
580,19.33,1,592.6,438.9,0.428,0.975,0.08,0.585,0.017,0.998,0.939,69.3,,,34.7,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
580,19.33,2,587.1,112.2,0.963,0.802,0.434,0.952,0.869,0.97,0.903,21.0,587.7,103.9,10.5,shoulders*0.5,-0.0534,ok,0.3,center,center,False,0,2,False,0.0
580,19.33,3,539.1,69.8,0.788,0.919,0.062,0.817,0.194,0.948,0.908,16.4,539.1,69.8,8.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
580,19.33,5,512.9,206.4,0.663,0.92,0.131,0.733,0.111,0.985,0.892,67.7,512.9,206.4,33.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
581,19.37,1,592.6,438.9,0.428,0.975,0.08,0.585,0.017,0.998,0.939,69.3,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
581,19.37,2,587.1,112.2,0.963,0.802,0.434,0.952,0.869,0.97,0.903,21.0,587.7,103.9,10.5,shoulders*0.5,-0.0534,ok,0.3,center,center,False,0,2,False,0.0
581,19.37,3,539.1,69.8,0.788,0.919,0.062,0.817,0.194,0.948,0.908,16.4,539.1,69.8,8.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
581,19.37,5,512.9,206.4,0.663,0.92,0.131,0.733,0.111,0.985,0.892,67.7,512.9,206.4,33.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
582,19.4,1,592.6,438.9,0.428,0.975,0.08,0.585,0.017,0.998,0.939,69.3,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
