frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
5,0.7143,7,544.4,142.48,669.59,437.37,0.6257,549.61,196.48,0.875,559.1,192.71,0.9036,555.1,185.1,0.1234,588.78,199.81,0.9309,570.47,179.87,0.0062,621.6,249.81,0.9877,564.95,211.88,0.9096,616.06,340.91,0.9369,548.03,285.93,0.3127,575.45,393.95,0.5675,537.88,349.77,0.1124,620.01,381.05,0.8804,577.68,362.49,0.7496,624.51,475.36,0.3071,560.63,453.76,0.1605,642.53,539.58,0.0998,584.69,527.13,0.0579
6,0.8571,1,514.49,314.24,740.16,873.85,0.8955,564.53,399.57,0.1665,564.38,390.19,0.2232,576.18,385.5,0.0213,583.15,394.55,0.8463,632.72,380.31,0.3988,600.18,482.33,0.9983,687.11,444.16,0.9859,595.57,597.74,0.9948,712.26,526.61,0.4422,554.4,581.43,0.9726,635.27,541.43,0.1516,640.91,644.17,0.997,701.48,623.18,0.9908,662.59,738.37,0.9858,695.56,696.92,0.9673,700.71,830.86,0.9524,719.2,783.05,0.9631
6,0.8571,2,657.3,100.03,820.52,634.38,0.9046,669.59,165.53,0.6736,672.09,156.04,0.7366,676.14,153.8,0.0585,695.87,157.32,0.9562,721.92,150.52,0.1388,706.27,224.22,0.9984,771.49,203.77,0.9771,702.34,325.97,0.9954,799.44,287.34,0.2387,689.65,397.89,0.9854,759.81,347.71,0.104,732.55,380.75,0.9968,780.95,368.1,0.9895,736.77,494.17,0.9929,782.25,464.39,0.9822,762.07,595.3,0.9781,791.16,563.61,0.9801
6,0.8571,7,542.69,141.4,667.47,434.82,0.6985,547.84,198.87,0.956,557.48,195.0,0.981,553.64,187.31,0.1692,588.92,203.93,0.9725,574.29,183.25,0.0031,611.54,254.21,0.9859,587.24,213.09,0.8658,602.58,340.74,0.8866,575.49,286.39,0.1714,556.08,384.28,0.4668,552.61,340.38,0.0857,621.56,380.55,0.8573,601.18,360.15,0.6796,623.54,467.52,0.4055,588.84,440.5,0.1752,656.08,534.14,0.1244,613.26,515.62,0.0632
7,1.0,1,516.21,322.57,739.27,874.43,0.9057,562.28,407.87,0.4974,566.02,398.92,0.6131,571.75,394.52,0.0753,590.73,403.73,0.9061,623.46,389.21,0.3274,596.61,488.57,0.9985,685.64,446.03,0.9867,602.64,601.33,0.996,710.64,515.32,0.3316,552.87,589.61,0.9776,624.27,515.78,0.0911,641.42,648.84,0.9964,702.94,627.25,0.99,669.2,745.78,0.9848,704.31,705.36,0.9737,706.15,829.75,0.9394,722.74,792.74,0.9595
7,1.0,2,661.41,90.56,821.41,616.32,0.9071,670.37,153.42,0.805,676.29,144.84,0.8844,677.57,142.41,0.1608,703.64,151.71,0.965,722.12,142.69,0.1826,699.49,221.34,0.9989,778.38,199.92,0.9842,693.28,313.59,0.9963,808.19,276.61,0.3142,685.26,383.85,0.9785,769.64,333.91,0.1187,728.04,379.77,0.9961,783.42,367.95,0.9893,738.93,486.15,0.9906,790.04,465.4,0.9839,764.5,578.58,0.9689,792.4,560.31,0.974
7,1.0,7,492.26,137.25,621.36,432.17,0.6667,546.2,203.05,0.8797,554.61,198.52,0.924,552.56,191.98,0.1147,581.97,206.62,0.9636,581.05,188.75,0.0182,592.75,249.31,0.9912,595.16,220.7,0.9496,524.31,308.99,0.9787,538.02,285.65,0.741,452.95,285.36,0.8521,470.46,281.75,0.5475,625.93,366.82,0.8768,622.58,351.46,0.7626,608.47,442.05,0.6102,592.1,415.93,0.2952,643.98,502.57,0.2286,617.63,483.69,0.1352
7,1.0,5,548.66,2.67,684.83,250.26,0.593,601.77,22.76,0.9682,606.71,17.55,0.9751,597.75,18.15,0.8278,619.56,14.12,0.921,594.95,16.27,0.1066,639.14,38.91,0.9953,594.17,40.62,0.9613,641.37,84.39,0.9928,574.11,74.96,0.6156,608.65,82.9,0.9749,569.05,75.31,0.4486,636.71,130.47,0.9833,604.88,129.85,0.9339,641.7,205.95,0.8996,605.67,201.38,0.4721,647.65,270.12,0.7947,614.03,267.12,0.3899
8,1.1429,1,517.23,326.95,739.18,874.92,0.9071,562.14,412.1,0.4942,565.28,403.12,0.6252,571.57,398.89,0.0629,589.12,406.7,0.9122,623.1,392.74,0.2723,597.3,488.58,0.9985,683.07,445.42,0.9822,601.74,599.85,0.9955,700.75,507.4,0.3036,552.21,589.51,0.9765,605.45,490.7,0.0914,641.84,645.88,0.996,701.3,624.21,0.9877,670.17,745.19,0.984,701.35,703.47,0.971,705.76,830.08,0.9332,722.0,791.7,0.9563
8,1.1429,2,663.57,86.06,820.68,602.73,0.9042,670.76,150.27,0.7623,676.59,141.87,0.853,678.52,139.7,0.1708,703.82,148.98,0.9641,723.27,140.53,0.2541,695.41,216.01,0.9989,778.22,196.76,0.9867,692.96,309.67,0.9969,811.72,274.3,0.3854,686.0,381.23,0.9824,782.03,334.09,0.145,727.75,372.65,0.9958,783.59,363.53,0.9889,741.69,477.03,0.9924,790.64,466.24,0.986,760.15,565.3,0.9745,792.28,559.97,0.9706
